0	0	187.1	0	23.04
1	23.04	164.06	2.53	20.51
2	34.76	152.34	3.99	19.05
3	46.48	140.62	5.46	17.58
4	58.19	128.91	6.92	16.12
5	69.91	117.19	8.39	14.65
6	81.63	105.47	9.86	13.18
7	93.35	93.75	11.33	11.71
8	105.07	82.03	12.8	10.24
9	116.79	70.31	14.27	8.77
10	128.51	58.59	15.74	7.3
11	140.23	46.87	17.2	5.84
12	151.95	35.15	18.66	4.38
13	163.67	23.43	20.12	2.92
14	175.39	11.71	21.58	1.46
15	187.1	0	23.04	0
16	0	374.6	0	46.48
17	23.04	351.56	2.53	43.95
18	34.76	339.84	3.99	42.49
19	46.48	328.12	5.46	41.02
20	58.19	316.41	6.92	39.56
21	69.91	304.69	8.39	38.09
22	81.63	292.97	9.86	36.62
23	93.35	281.25	11.33	35.15
24	105.07	269.53	12.8	33.68
25	116.79	257.81	14.27	32.21
26	128.51	246.09	15.74	30.74
27	140.23	234.37	17.21	29.27
28	151.95	222.65	18.68	27.8
29	163.67	210.93	20.15	26.33
30	175.39	199.21	21.62	24.86
31	187.11	187.49	23.09	23.39
32	198.83	175.77	24.56	21.92
33	210.55	164.05	26.03	20.45
34	222.27	152.33	27.5	18.98
35	233.99	140.61	28.96	17.52
36	245.71	128.89	30.42	16.06
37	257.43	117.17	31.88	14.6
38	269.15	105.45	33.34	13.14
39	280.87	93.73	34.8	11.68
40	292.59	82.01	36.26	10.22
41	304.31	70.29	37.72	8.76
42	316.03	58.57	39.18	7.3
43	327.75	46.85	40.64	5.84
44	339.47	35.13	42.1	4.38
45	351.18	23.42	43.56	2.92
46	362.89	11.71	45.02	1.46
47	374.6	0	46.48	0
48	0	749.6	0	93.35
49	23.04	726.56	2.53	90.82
50	34.76	714.84	3.99	89.36
51	46.48	703.12	5.46	87.89
52	58.19	691.41	6.92	86.43
53	69.91	679.69	8.39	84.96
54	81.63	667.97	9.86	83.49
55	93.35	656.25	11.33	82.02
56	105.07	644.53	12.8	80.55
57	116.79	632.81	14.27	79.08
58	128.51	621.09	15.74	77.61
59	140.23	609.37	17.21	76.14
60	151.95	597.65	18.68	74.67
61	163.67	585.93	20.15	73.2
62	175.39	574.21	21.62	71.73
63	187.11	562.49	23.09	70.26
64	198.83	550.77	24.56	68.79
65	210.55	539.05	26.03	67.32
66	222.27	527.33	27.5	65.85
67	233.99	515.61	28.97	64.38
68	245.71	503.89	30.44	62.91
69	257.43	492.17	31.91	61.44
70	269.15	480.45	33.37	59.98
71	280.87	468.73	34.84	58.51
72	292.59	457.01	36.31	57.04
73	304.31	445.29	37.78	55.57
74	316.03	433.57	39.25	54.1
75	327.75	421.85	40.72	52.63
76	339.47	410.13	42.18	51.17
77	351.19	398.41	43.64	49.71
78	362.91	386.69	45.1	48.25
79	374.63	374.97	46.56	46.79
80	386.35	363.25	48.02	45.33
81	398.07	351.53	49.48	43.87
82	409.79	339.81	50.94	42.41
